CITY.NAME,Year,Population,Levy.Rate,Adjusted.Amount,CITY.SIZE
ACKLEY,2020,1540.091931,18.61132,35289106.36,RURAL PLUS
ACKWORTH,2020,119.2399391,2.62089,4220674.85,RURAL
ADAIR,2020,675.2797704,14.82822,26313495.98,RURAL
ADEL,2020,4496.442825,14.26348,130985326.4,URBAN CLUSTER
AFTON,2020,808.25437,11.67405,13004785.39,RURAL PLUS
AGENCY,2020,637.0535076,8.1,11152031.64,RURAL
AINSWORTH,2020,579.6794927,8.82563,8668441.15,RURAL
AKRON,2020,1469.987288,12.74226,40087140.57,RURAL PLUS
ALBERT CITY,2020,656.5296128,12.43005,19300785.49,RURAL
ALBIA,2020,3603.541345,20.07386,74011072.52,URBAN CLUSTER
ALBION,2020,485.5858154,10.15392,8407766.262,RURAL
ALBURNETT,2020,722.2211135,11.36965,21719975.44,RURAL
ALDEN,2020,750.3698311,19.48519,15572423.64,RURAL
ALEXANDER,2020,164.073671,13.04404,4486257.028,RURAL
ALGONA,2020,5215.899579,15.11399,207940220.4,NANO- and MICROPOLITAN
ALLEMAN,2020,469.4662205,9.49599,20267940.57,RURAL
ALLERTON,2020,482.6051917,10.19812,9332580.05,RURAL
ALLISON,2020,1002.012027,15.86787,25056351.11,RURAL PLUS
ALTA,2020,1939.874744,10.59032,50340574.63,RURAL PLUS
ALTA VISTA,2020,264.250128,13.62449,3620502.794,RURAL
ALTON,2020,1239.862526,13.98254,52766211,RURAL PLUS
ALTOONA,2020,19318.51726,9.94369,1045627712,NANO- and MICROPOLITAN
ALVORD,2020,195.7661342,8.1,8499311.673,RURAL
AMES,2020,67039.13641,10.02557,2507387057,NANO- and MICROPOLITAN
ANAMOSA,2020,5641.762621,14.57178,116344688.6,NANO- and MICROPOLITAN
ANDOVER,2020,95.69060075,8.09804,1514851.494,RURAL
ANDREW,2020,455.7379878,9.71645,6205686.616,RURAL
ANITA,2020,946.352857,12.58938,24931683.45,RURAL PLUS
ANKENY,2020,63539.52606,10.35,3285273957,NANO- and MICROPOLITAN
ANTHON,2020,560.497776,11.76554,10057619.33,RURAL
APLINGTON,2020,1046.9332,15.82232,23766450.12,RURAL PLUS
ARCADIA,2020,471.2225201,9.37452,18496241.18,RURAL
ARCHER,2020,117.2243942,8.1,2121777.164,RURAL
AREDALE,2020,67.4521523,16.72402,1493628.993,RURAL
ARION,2020,96.97584704,9.83911,1829061.893,RURAL
ARISPE,2020,99.17201254,6.65134,2137746.68,RURAL
ARLINGTON,2020,404.1217332,18.03342,8511016.575,RURAL
ARMSTRONG,2020,838.9198296,11.20086,23029606.95,RURAL PLUS
ARNOLDS PARK,2020,1323.063666,4.95,262534982.6,RURAL PLUS
ARTHUR,2020,180.7902196,16.13901,2843056.227,RURAL
ASBURY,2020,5819.231377,10.00788,231552841.1,NANO- and MICROPOLITAN
ASHTON,2020,426.9499172,16.17175,10378382.21,RURAL
ASPINWALL,2020,44.89656393,8.41188,4213651.751,RURAL
ATALISSA,2020,291.3068228,8.1,5253811.232,RURAL
ATKINS,2020,2058.883928,8.65388,67512695.78,RURAL PLUS
ATLANTIC,2020,6552.873444,16.85586,191180024.9,NANO- and MICROPOLITAN
AUBURN,2020,301.8200707,14.71417,4753797.881,RURAL
AUDUBON,2020,1886.499182,22.71936,48307610.32,RURAL PLUS
AURELIA,2020,966.9784793,12.13434,24896314.97,RURAL PLUS
AURORA,2020,160.902659,9.95024,3529809.049,RURAL
AVOCA,2020,1520.172856,14.83797,51883428.95,RURAL PLUS
AYRSHIRE,2020,133.439531,9.62617,1234226.89,RURAL
BADGER,2020,541.4832439,11.36735,11806891.78,RURAL
BAGLEY,2020,293.8706848,11.15915,3685890.128,RURAL
BALDWIN,2020,107.2205899,9.90778,2057405.7,RURAL
BALLTOWN,2020,65.58965248,0.13655,2805004.687,RURAL
BANCROFT,2020,676.2671077,16.17854,18590945.77,RURAL
BANKSTON,2020,24.02898579,0,978112.0272,RURAL
BARNES CITY,2020,173.7215391,11.81391,2732362.482,RURAL
BARNUM,2020,197.1410697,10.57699,3136141.548,RURAL
BASSETT,2020,61.87888026,8.07853,754296.0331,RURAL
BATAVIA,2020,508.3500903,8.1,7302886.48,RURAL
BATTLE CREEK,2020,655.1480694,12.71053,9595926.213,RURAL
BAXTER,2020,1147.065203,13.22322,24101052.57,RURAL PLUS
BAYARD,2020,447.9171388,13.34544,9767789.034,RURAL
BEACON,2020,493.0195122,8.1,5694856.168,RURAL
BEACONSFIELD,2020,8.320860129,8.1,523525.2936,RURAL
BEAMAN,2020,186.2049743,11.75146,6149864.021,RURAL
BEAVER,2020,50.9872188,3.66631,2992136.992,RURAL
BEDFORD,2020,1356.47186,15.31303,23598099.24,RURAL PLUS
BELLE PLAINE,2020,2421.14235,16.38748,56737667.59,RURAL PLUS
BELLEVUE,2020,2188.543531,11.99056,86558726.39,RURAL PLUS
BELMOND,2020,2266.700831,17.11978,58797782.28,RURAL PLUS
BENNETT,2020,367.3690215,14.16394,7272312.942,RURAL
BENTON,2020,40.32562103,11.34192,650564.1044,RURAL
BERKLEY,2020,29.25425267,3.97627,490347.2612,RURAL
BERNARD,2020,115.1319676,7.89969,2282052.147,RURAL
BERTRAM,2020,308.4514962,4.4,14255710.9,RURAL
BETTENDORF,2020,36242.09364,12.5,1984781457,NANO- and MICROPOLITAN
BEVINGTON,2020,67.55169725,8.1,4674672.331,RURAL
