FIPS,City,Year,Population,Primary.Point,Date,MSA,microMSA
1948500,Maharishi Vedic City,April 01 2000,NA,POINT (-92.0138829 41.0543302),4/1/00,,
1921000,Des Moines,July 01 2017,216662,POINT (-93.6104316 41.5725032),7/1/17,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2016,216308,POINT (-93.6104316 41.5725032),7/1/16,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2018,215994,POINT (-93.6104316 41.5725032),7/1/18,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2015,215243,POINT (-93.6104316 41.5725032),7/1/15,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,NA,214688.9037,NA,7/1/20,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2014,214350,POINT (-93.6104316 41.5725032),7/1/14,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2019,214237,POINT (-93.6104316 41.5725032),7/1/19,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2013,212026,POINT (-93.6104316 41.5725032),7/1/13,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2012,210244,POINT (-93.6104316 41.5725032),7/1/12,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2011,207924,POINT (-93.6104316 41.5725032),7/1/11,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,April 01 2010,203433,POINT (-93.6104316 41.5725032),4/1/10,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2009,200538,POINT (-93.6104316 41.5725032),7/1/09,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2001,200500,POINT (-93.6104316 41.5725032),7/1/01,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,April 01 2000,198682,POINT (-93.6104316 41.5725032),4/1/00,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2002,198652,POINT (-93.6104316 41.5725032),7/1/02,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2008,197639,POINT (-93.6104316 41.5725032),7/1/08,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2003,197106,POINT (-93.6104316 41.5725032),7/1/03,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2007,195701,POINT (-93.6104316 41.5725032),7/1/07,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1993,195651,POINT (-93.6104316 41.5725032),7/1/93,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1992,195176,POINT (-93.6104316 41.5725032),7/1/92,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1994,195105,POINT (-93.6104316 41.5725032),7/1/94,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2006,194880,POINT (-93.6104316 41.5725032),7/1/06,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1995,194391,POINT (-93.6104316 41.5725032),7/1/95,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2005,194362,POINT (-93.6104316 41.5725032),7/1/05,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1991,193897,POINT (-93.6104316 41.5725032),7/1/91,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 2004,193574,POINT (-93.6104316 41.5725032),7/1/04,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1996,193498,POINT (-93.6104316 41.5725032),7/1/96,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,April 01 1990,193189,POINT (-93.6104316 41.5725032),4/1/90,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1997,191896,POINT (-93.6104316 41.5725032),7/1/97,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1998,191248,POINT (-93.6104316 41.5725032),7/1/98,Des Moines-West Des Moines,Des Moines-West Des Moines
1921000,Des Moines,July 01 1999,190958,POINT (-93.6104316 41.5725032),7/1/99,Des Moines-West Des Moines,Des Moines-West Des Moines
1912000,Cedar Rapids,NA,135771.9218,NA,7/1/20,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2019,133562,POINT (-91.6781641 41.966733),7/1/19,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2018,133209,POINT (-91.6781641 41.966733),7/1/18,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2017,132564,POINT (-91.6781641 41.966733),7/1/17,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2016,131397,POINT (-91.6781641 41.966733),7/1/16,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2015,130832,POINT (-91.6781641 41.966733),7/1/15,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2014,129662,POINT (-91.6781641 41.966733),7/1/14,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2013,128826,POINT (-91.6781641 41.966733),7/1/13,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2012,128478,POINT (-91.6781641 41.966733),7/1/12,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2011,128231,POINT (-91.6781641 41.966733),7/1/11,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2009,127764,POINT (-91.6781641 41.966733),7/1/09,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2008,127202,POINT (-91.6781641 41.966733),7/1/08,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,April 01 2010,126326,POINT (-91.6781641 41.966733),4/1/10,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2007,126132,POINT (-91.6781641 41.966733),7/1/07,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2006,124717,POINT (-91.6781641 41.966733),7/1/06,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2005,123965,POINT (-91.6781641 41.966733),7/1/05,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2002,123346,POINT (-91.6781641 41.966733),7/1/02,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2003,122946,POINT (-91.6781641 41.966733),7/1/03,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2004,122932,POINT (-91.6781641 41.966733),7/1/04,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 2001,122764,POINT (-91.6781641 41.966733),7/1/01,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,April 01 2000,120758,POINT (-91.6781641 41.966733),4/1/00,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1999,115777,POINT (-91.6781641 41.966733),7/1/99,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1998,115108,POINT (-91.6781641 41.966733),7/1/98,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1997,114764,POINT (-91.6781641 41.966733),7/1/97,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1996,114013,POINT (-91.6781641 41.966733),7/1/96,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1995,113854,POINT (-91.6781641 41.966733),7/1/95,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1994,112975,POINT (-91.6781641 41.966733),7/1/94,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1993,112315,POINT (-91.6781641 41.966733),7/1/93,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1992,111280,POINT (-91.6781641 41.966733),7/1/92,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,July 01 1991,109822,POINT (-91.6781641 41.966733),7/1/91,Cedar Rapids,Cedar Rapids
1912000,Cedar Rapids,April 01 1990,108772,POINT (-91.6781641 41.966733),4/1/90,Cedar Rapids,Cedar Rapids
1919000,Davenport,NA,102604.428,NA,7/1/20,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2015,102534,POINT (-90.6051955 41.5557666),7/1/15,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2014,102471,POINT (-90.6051955 41.5557666),7/1/14,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2016,102456,POINT (-90.6051955 41.5557666),7/1/16,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2017,102310,POINT (-90.6051955 41.5557666),7/1/17,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2013,102053,POINT (-90.6051955 41.5557666),7/1/13,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2018,101918,POINT (-90.6051955 41.5557666),7/1/18,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2019,101590,POINT (-90.6051955 41.5557666),7/1/19,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2009,101335,POINT (-90.6051955 41.5557666),7/1/09,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2012,101165,POINT (-90.6051955 41.5557666),7/1/12,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2011,100302,POINT (-90.6051955 41.5557666),7/1/11,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2008,100181,POINT (-90.6051955 41.5557666),7/1/08,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,April 01 2010,99685,POINT (-90.6051955 41.5557666),4/1/10,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2007,98814,POINT (-90.6051955 41.5557666),7/1/07,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2006,98812,POINT (-90.6051955 41.5557666),7/1/06,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,April 01 2000,98359,POINT (-90.6051955 41.5557666),4/1/00,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2005,98282,POINT (-90.6051955 41.5557666),7/1/05,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 1999,98256,POINT (-90.6051955 41.5557666),7/1/99,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2004,97880,POINT (-90.6051955 41.5557666),7/1/04,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 2001,97787,POINT (-90.6051955 41.5557666),7/1/01,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 1996,97727,POINT (-90.6051955 41.5557666),7/1/96,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
1919000,Davenport,July 01 1995,97681,POINT (-90.6051955 41.5557666),7/1/95,Davenport-Moline-Rock Island,Davenport-Moline-Rock Island
