"","FIPS","City","Year","Population","longitude","latitude","Date","MSA","microMSA"
"1",1948500,"Maharishi Vedic City","April 01 2000",NA,-92.0138829,41.0543302,"4/1/00","",""
"2",1921000,"Des Moines","July 01 2017",216662,-93.6104316,41.5725032,"7/1/17","Des Moines-West Des Moines","Des Moines-West Des Moines"
"3",1921000,"Des Moines","July 01 2016",216308,-93.6104316,41.5725032,"7/1/16","Des Moines-West Des Moines","Des Moines-West Des Moines"
"4",1921000,"Des Moines","July 01 2018",215994,-93.6104316,41.5725032,"7/1/18","Des Moines-West Des Moines","Des Moines-West Des Moines"
"5",1921000,"Des Moines","July 01 2015",215243,-93.6104316,41.5725032,"7/1/15","Des Moines-West Des Moines","Des Moines-West Des Moines"
"6",1921000,"Des Moines",NA,214688.9037,NA,NA,"7/1/20","Des Moines-West Des Moines","Des Moines-West Des Moines"
"7",1921000,"Des Moines","July 01 2014",214350,-93.6104316,41.5725032,"7/1/14","Des Moines-West Des Moines","Des Moines-West Des Moines"
"8",1921000,"Des Moines","July 01 2019",214237,-93.6104316,41.5725032,"7/1/19","Des Moines-West Des Moines","Des Moines-West Des Moines"
"9",1921000,"Des Moines","July 01 2013",212026,-93.6104316,41.5725032,"7/1/13","Des Moines-West Des Moines","Des Moines-West Des Moines"
"10",1921000,"Des Moines","July 01 2012",210244,-93.6104316,41.5725032,"7/1/12","Des Moines-West Des Moines","Des Moines-West Des Moines"
"11",1921000,"Des Moines","July 01 2011",207924,-93.6104316,41.5725032,"7/1/11","Des Moines-West Des Moines","Des Moines-West Des Moines"
"12",1921000,"Des Moines","April 01 2010",203433,-93.6104316,41.5725032,"4/1/10","Des Moines-West Des Moines","Des Moines-West Des Moines"
"13",1921000,"Des Moines","July 01 2009",200538,-93.6104316,41.5725032,"7/1/09","Des Moines-West Des Moines","Des Moines-West Des Moines"
"14",1921000,"Des Moines","July 01 2001",200500,-93.6104316,41.5725032,"7/1/01","Des Moines-West Des Moines","Des Moines-West Des Moines"
"15",1921000,"Des Moines","April 01 2000",198682,-93.6104316,41.5725032,"4/1/00","Des Moines-West Des Moines","Des Moines-West Des Moines"
"16",1921000,"Des Moines","July 01 2002",198652,-93.6104316,41.5725032,"7/1/02","Des Moines-West Des Moines","Des Moines-West Des Moines"
"17",1921000,"Des Moines","July 01 2008",197639,-93.6104316,41.5725032,"7/1/08","Des Moines-West Des Moines","Des Moines-West Des Moines"
"18",1921000,"Des Moines","July 01 2003",197106,-93.6104316,41.5725032,"7/1/03","Des Moines-West Des Moines","Des Moines-West Des Moines"
"19",1921000,"Des Moines","July 01 2007",195701,-93.6104316,41.5725032,"7/1/07","Des Moines-West Des Moines","Des Moines-West Des Moines"
"20",1921000,"Des Moines","July 01 1993",195651,-93.6104316,41.5725032,"7/1/93","Des Moines-West Des Moines","Des Moines-West Des Moines"
"21",1921000,"Des Moines","July 01 1992",195176,-93.6104316,41.5725032,"7/1/92","Des Moines-West Des Moines","Des Moines-West Des Moines"
"22",1921000,"Des Moines","July 01 1994",195105,-93.6104316,41.5725032,"7/1/94","Des Moines-West Des Moines","Des Moines-West Des Moines"
"23",1921000,"Des Moines","July 01 2006",194880,-93.6104316,41.5725032,"7/1/06","Des Moines-West Des Moines","Des Moines-West Des Moines"
"24",1921000,"Des Moines","July 01 1995",194391,-93.6104316,41.5725032,"7/1/95","Des Moines-West Des Moines","Des Moines-West Des Moines"
"25",1921000,"Des Moines","July 01 2005",194362,-93.6104316,41.5725032,"7/1/05","Des Moines-West Des Moines","Des Moines-West Des Moines"
"26",1921000,"Des Moines","July 01 1991",193897,-93.6104316,41.5725032,"7/1/91","Des Moines-West Des Moines","Des Moines-West Des Moines"
"27",1921000,"Des Moines","July 01 2004",193574,-93.6104316,41.5725032,"7/1/04","Des Moines-West Des Moines","Des Moines-West Des Moines"
"28",1921000,"Des Moines","July 01 1996",193498,-93.6104316,41.5725032,"7/1/96","Des Moines-West Des Moines","Des Moines-West Des Moines"
"29",1921000,"Des Moines","April 01 1990",193189,-93.6104316,41.5725032,"4/1/90","Des Moines-West Des Moines","Des Moines-West Des Moines"
"30",1921000,"Des Moines","July 01 1997",191896,-93.6104316,41.5725032,"7/1/97","Des Moines-West Des Moines","Des Moines-West Des Moines"
"31",1921000,"Des Moines","July 01 1998",191248,-93.6104316,41.5725032,"7/1/98","Des Moines-West Des Moines","Des Moines-West Des Moines"
"32",1921000,"Des Moines","July 01 1999",190958,-93.6104316,41.5725032,"7/1/99","Des Moines-West Des Moines","Des Moines-West Des Moines"
"33",1912000,"Cedar Rapids",NA,135771.9218,NA,NA,"7/1/20","Cedar Rapids","Cedar Rapids"
"34",1912000,"Cedar Rapids","July 01 2019",133562,-91.6781641,41.966733,"7/1/19","Cedar Rapids","Cedar Rapids"
"35",1912000,"Cedar Rapids","July 01 2018",133209,-91.6781641,41.966733,"7/1/18","Cedar Rapids","Cedar Rapids"
"36",1912000,"Cedar Rapids","July 01 2017",132564,-91.6781641,41.966733,"7/1/17","Cedar Rapids","Cedar Rapids"
"37",1912000,"Cedar Rapids","July 01 2016",131397,-91.6781641,41.966733,"7/1/16","Cedar Rapids","Cedar Rapids"
"38",1912000,"Cedar Rapids","July 01 2015",130832,-91.6781641,41.966733,"7/1/15","Cedar Rapids","Cedar Rapids"
"39",1912000,"Cedar Rapids","July 01 2014",129662,-91.6781641,41.966733,"7/1/14","Cedar Rapids","Cedar Rapids"
"40",1912000,"Cedar Rapids","July 01 2013",128826,-91.6781641,41.966733,"7/1/13","Cedar Rapids","Cedar Rapids"
"41",1912000,"Cedar Rapids","July 01 2012",128478,-91.6781641,41.966733,"7/1/12","Cedar Rapids","Cedar Rapids"
