"","CITY.NAME","Year","Fiscal.Effort","Fiscal.Capacity","QOLjobs_i14","QOLmed_i14","QOLk12_i14","QOLhousing_i14","QOLgovt_i14","QOLchildsrv_i14","QOLseniorsrv_i14","Proportion of land dedicated to ag","Number of unique crops grown","Shannon's Diversity Index","Shannon's Evenness Index","Simpson's Diveristy Index, Chance","Simpson's Evenness Index","miles50","min50","miles25","min25","miles10","min10","CITY.SIZE","QoL Average"
"1","AFTON",2016,86.4868449492573,68.121091604099,32.4786,28.5714,67.9487,41.6667,61.3636,48.0392,48.3333,0.649992631304486,13,1.10451947475106,0.430620383025487,0.534709687381155,0.165322756216699,60.35,60,67.61,69,56.34,59,"RURAL PLUS",46.9145
"2","AGENCY",2016,65.7617395695981,84.4913293214297,22.2222,45.8333,84.7826,62.3932,73.1707,35.7143,48.4848,0.614813949053598,10,1.16276302180692,0.504981564131897,0.665763657813756,0.299189487731642,91.68,90,6.46,11,19.41,23,"RURAL",53.2287285714286
"3","AINSWORTH",2016,65.7617395695981,62.3539376994229,12.8205,20.8333,62.2222,38.2353,55.2083,43.75,33.3333,0.866833381424129,11,1.05727824031102,0.440919272957724,0.616396647927121,0.236987217181094,27.98,32,52.9,50,30.02,31,"RURAL",38.0575571428571
"4","ALBERT CITY",2016,85.2334659068249,122.869419152848,36.6667,14.2857,78.4615,50.303,72.7778,43.2432,35.0877,0.933854253460971,13,0.811807320259885,0.316500330853826,0.521857603051917,0.160879013059847,91.1,101,58.9,68,21.96,28,"RURAL",47.2608
"5","ALBIA",2016,132.492364633278,70.1522869502245,43.5185,69.5652,83.7838,43.8596,66.6667,60.2564,52.2222,0.59442442897618,9,1.14841293029737,0.522665248761067,0.595325346458357,0.274568990517903,64.02,74,22.8,30,25.54,29,"URBAN CLUSTER",59.9817714285714
"6","ALBION",2016,81.4254552490812,72.4165797429063,31.1828,40.7407,39.3939,43.9024,61.9048,38.3333,47.0588,0.823461412811298,8,1.06891203456216,0.514038030469788,0.615672045736574,0.325243060290958,42.41,46,10.18,12,33.05,39,"RURAL",43.2166714285714
"7","ALLERTON",2016,83.5084786467814,80.5354210552812,26.0163,50.9804,68.1159,30.7692,59.2593,44.8718,41.1111,0.851000111123458,9,1.24778328261476,0.567890645082577,0.680129678053425,0.347362988960474,82.68,85,71.28,80,56.76,63,"RURAL",45.8748571428571
"8","ALTOONA",2016,74.5998955042446,129.216384410335,48.2759,62.0155,76.7442,67.4419,68.8889,63.6364,46.1538,0.613013381453586,18,1.18435985607013,0.409760389069189,0.65573170437906,0.161372848624799,12.94,23,15.04,26,0,0,"MICROPOLITAN",61.8795142857143
"9","ANITA",2016,90.8533242763762,100.661102557211,33.3333,62.5,79.5322,52.7778,65.3595,66.6667,43.4343,0.899034946629624,14,1.24594988808627,0.472119295819887,0.688411552656301,0.229240114765173,57.57,56,61.04,60,52.07,51,"RURAL PLUS",57.6576857142857
"10","ATKINS",2016,64.9452137215007,133.55382814064,24.0741,67.7596,75.8974,74.1935,65.2174,61.4035,23.8095,0.91679120530761,16,1.00072447106179,0.36093505792427,0.577069137939598,0.147778290984766,17.27,21,16.34,26,27.75,31,"RURAL PLUS",56.0507142857143
"11","AUDUBON",2016,156.521467437394,81.4557059397357,36.1111,63.7255,83.5749,51.0753,65.625,45.7364,48.6667,0.921808247401856,12,1.12102224861624,0.451132540013879,0.621254374075518,0.220024543200795,72.82,72,81.57,82,27.48,32,"RURAL PLUS",56.3592714285714
"12","BANCROFT",2016,134.305687846987,112.48286847716,57.3333,80.6061,52,62.1795,73.1884,72.6667,74.6667,0.903302737204345,10,0.907737286827528,0.394225294687025,0.540993754833162,0.217861959511362,124.46,134,58.65,72,61.41,73,"RURAL",67.5201
"13","BATAVIA",2016,65.7610088836029,58.6446413506416,12.8205,33.3333,70.6667,40.3509,52.1739,19.0476,37.5,0.795941194319338,13,1.15666957292537,0.450952206740681,0.660068484514845,0.226289924349295,84.09,84,14.99,19,11.82,17,"RURAL",37.9847
"14","BATTLE CREEK",2016,94.0919781635138,66.3881554203544,17.3913,42.029,42.7083,50.9091,57.0513,37.3737,40.5797,0.917196164875005,13,1.11169099936652,0.433416354257666,0.622037975429978,0.203520650019235,54.09,61,85.72,86,41.83,46,"RURAL",41.1489142857143
"15","BAYARD",2016,114.676864020788,99.6696905418411,15.4472,15.1515,55.8333,43.9394,48.8372,19.4444,26.3158,0.908928997786626,15,1.09445650693565,0.404149268167257,0.618024668368404,0.174531340497571,57.82,64,54.72,64,29.53,34,"RURAL",32.1384
"16","BEDFORD",2016,114.385039721753,65.887907278815,23.5294,59.322,82.4242,41.3043,65.1852,57.9365,54.7009,0.752028229808283,11,1.28606936048195,0.536332580939238,0.680106239599306,0.284185258240797,96.46,102,116.02,117,104.74,106,"RURAL PLUS",54.9146428571429
"17","BLOOMFIELD",2016,94.1524809868264,80.3140886719826,35.5072,52.7273,78.8618,49.2063,67.4419,67.9487,61.1111,0.779346752312114,15,1.2484064383337,0.460998262818606,0.661235096049738,0.196793309723887,110.22,113,19.15,22,39.71,47,"URBAN CLUSTER",58.9720428571429
"18","BUFFALO CENTER",2016,122.894093075635,77.4072011714566,43.5897,68.2292,79.235,51.462,65.4762,68,57.6389,0.930134459746441,9,0.83403613545902,0.379586203459527,0.519794702886963,0.231382518641722,132.86,129,52.3,62,78.58,89,"RURAL PLUS",61.9472857142857
"19","CALMAR",2016,98.6235843082511,118.42599401481,37.6068,62.2807,72.5,51.1111,59.8039,66.6667,53.3333,0.80787404280666,11,1.21062856448893,0.504871325375321,0.630385415556965,0.245956449597572,66.67,73,69.98,74,56.13,62,"RURAL PLUS",57.6146428571429
"20","CENTER POINT",2016,94.114619789997,126.871560717824,37.037,66.6667,84.8485,65.873,62.6667,54.023,39.6825,0.699625891561244,13,1.17510546981155,0.458139832817021,0.657265403778059,0.224439195141143,18.09,21,17.76,26,36.63,40,"RURAL PLUS",58.6853428571429
"21","CHARITON",2016,119.619099938928,69.2171465467863,37.5887,54.717,60.8333,44.4444,50.7937,53.3333,51.7544,0.632041845627417,8,1.14961149946964,0.552846269744592,0.617531012834271,0.326823884274402,64.48,68,49.66,58,35.68,42,"URBAN CLUSTER",50.4949714285714
