"","Tax.Type","Levy.Authority.Code","CITY.NAME","Year","Population","FIPS_PL","county","latitude","longitude","Type","Amount","GDPD.BY.2006","Adjusted.Amount","CITY.SIZE","Levy.Rate","MSA","hub50","miles50","min50","hub25","miles25","min25","hub10","miles10","min10","microMSA","Prop.Tax.Revenue","Per.Capita.Revenue","Group.Per.Capita.Revenue","Per.Capita.Valuation","Group.Tax.Valuation","Group.Per.Capita.Valuation","Group.Levy.Rate","Fiscal.Capacity","Fiscal.Effort","hub_min","QOLjobs_i14","QOLmed_i14","QOLk12_i14","QOLhousing_i14","QOLgovt_i14","QOLchildsrv_i14","QOLseniorsrv_i14","QoL.Average","radius_mi","div_metric","div_metric_nice","value"
"1","TOTALS","64G603","ALBION",2020,485.5858154,1900955,"Marshall County",42.11,-92.98,"Valuation With G&E Utilities",10701405,127.2800012,8407766.262,"RURAL",10.15392,"Ames","Ames",42.41,46,"Marshalltown",10.18,12,"Newton",33.05,39,"Marshalltown, microMSA",85371.786,175.8119436,0.465536011,17314.6867,532921952,23487.57744,12.47050631,73.71848691,81.42347832,12,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.712593923554394
"2","TOTALS","64G603","ALBION",2020,485.5858154,1900955,"Marshall County",42.11,-92.98,"Valuation With G&E Utilities",10701405,127.2800012,8407766.262,"RURAL",10.15392,"Ames","Ames",42.41,46,"Marshalltown",10.18,12,"Newton",33.05,39,"Marshalltown, microMSA",85371.786,175.8119436,0.465536011,17314.6867,532921952,23487.57744,12.47050631,73.71848691,81.42347832,12,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",7
"3","TOTALS","64G603","ALBION",2020,485.5858154,1900955,"Marshall County",42.11,-92.98,"Valuation With G&E Utilities",10701405,127.2800012,8407766.262,"RURAL",10.15392,"Ames","Ames",42.41,46,"Marshalltown",10.18,12,"Newton",33.05,39,"Marshalltown, microMSA",85371.786,175.8119436,0.465536011,17314.6867,532921952,23487.57744,12.47050631,73.71848691,81.42347832,12,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.77863955082348
"4","TOTALS","64G603","ALBION",2020,485.5858154,1900955,"Marshall County",42.11,-92.98,"Valuation With G&E Utilities",10701405,127.2800012,8407766.262,"RURAL",10.15392,"Ames","Ames",42.41,46,"Marshalltown",10.18,12,"Newton",33.05,39,"Marshalltown, microMSA",85371.786,175.8119436,0.465536011,17314.6867,532921952,23487.57744,12.47050631,73.71848691,81.42347832,12,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.400141574471714
"5","TOTALS","64G603","ALBION",2020,485.5858154,1900955,"Marshall County",42.11,-92.98,"Valuation With G&E Utilities",10701405,127.2800012,8407766.262,"RURAL",10.15392,"Ames","Ames",42.41,46,"Marshalltown",10.18,12,"Newton",33.05,39,"Marshalltown, microMSA",85371.786,175.8119436,0.465536011,17314.6867,532921952,23487.57744,12.47050631,73.71848691,81.42347832,12,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_d1","Simpson's Diveristy Index, Chance",0.510985263118826
"6","TOTALS","64G603","ALBION",2020,485.5858154,1900955,"Marshall County",42.11,-92.98,"Valuation With G&E Utilities",10701405,127.2800012,8407766.262,"RURAL",10.15392,"Ames","Ames",42.41,46,"Marshalltown",10.18,12,"Newton",33.05,39,"Marshalltown, microMSA",85371.786,175.8119436,0.465536011,17314.6867,532921952,23487.57744,12.47050631,73.71848691,81.42347832,12,NA,NA,NA,NA,NA,NA,NA,NA,5,"simp_e","Simpson's Evenness Index",0.29213259250274
"7","TOTALS","55G518","BANCROFT",2020,676.2671077,1904420,"Kossuth County",43.29,-94.21,"Valuation With G&E Utilities",23662556,127.2800012,18590945.77,"RURAL",16.17854,"Ames","Ames",124.46,134,"Fort Dodge",58.65,72,"Spencer",61.41,73,"Fort Dodge, microMSA",300774.3598,444.7567482,0.465536011,27490.53674,532921952,23487.57744,12.47050631,117.0428785,129.7344278,72,NA,NA,NA,NA,NA,NA,NA,NA,5,"ag_prop","Proportion of land dedicated to ag",0.850291938942694
"8","TOTALS","55G518","BANCROFT",2020,676.2671077,1904420,"Kossuth County",43.29,-94.21,"Valuation With G&E Utilities",23662556,127.2800012,18590945.77,"RURAL",16.17854,"Ames","Ames",124.46,134,"Fort Dodge",58.65,72,"Spencer",61.41,73,"Fort Dodge, microMSA",300774.3598,444.7567482,0.465536011,27490.53674,532921952,23487.57744,12.47050631,117.0428785,129.7344278,72,NA,NA,NA,NA,NA,NA,NA,NA,5,"ncrops","Number of unique crops grown",9
"9","TOTALS","55G518","BANCROFT",2020,676.2671077,1904420,"Kossuth County",43.29,-94.21,"Valuation With G&E Utilities",23662556,127.2800012,18590945.77,"RURAL",16.17854,"Ames","Ames",124.46,134,"Fort Dodge",58.65,72,"Spencer",61.41,73,"Fort Dodge, microMSA",300774.3598,444.7567482,0.465536011,27490.53674,532921952,23487.57744,12.47050631,117.0428785,129.7344278,72,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_div_h","Shannon's Diversity Index",0.727070521041691
"10","TOTALS","55G518","BANCROFT",2020,676.2671077,1904420,"Kossuth County",43.29,-94.21,"Valuation With G&E Utilities",23662556,127.2800012,18590945.77,"RURAL",16.17854,"Ames","Ames",124.46,134,"Fort Dodge",58.65,72,"Spencer",61.41,73,"Fort Dodge, microMSA",300774.3598,444.7567482,0.465536011,27490.53674,532921952,23487.57744,12.47050631,117.0428785,129.7344278,72,NA,NA,NA,NA,NA,NA,NA,NA,5,"shan_e","Shannon's Evenness Index",0.33090405438808
