FIPS_PL,QOLjobs_m14r,QOLmed_m14r,QOLk12_m14r,QOLhousing_m14r,QOLgovt_m14r,QOLchildsrv_m14r,QOLseniorsrv_m14r,QOLjobs_i14,QOLmed_i14,QOLk12_i14,QOLhousing_i14,QOLgovt_i14,QOLchildsrv_i14,QOLseniorsrv_i14,QOLjobs_gvg14,QOLmed_gvg14,QOLk12_gvg14,QOLhousing_gvg14,QOLgovt_gvg14,QOLchildsrv_gvg14,QOLseniorsrv_gvg14
1900595,1.9744,1.8571,3.0385,2.2500,2.8409,2.4412,2.4500,32.4786,28.5714,67.9487,41.6667,61.3636,48.0392,48.3333,23.0769,28.5714,75.0000,29.1667,70.4545,52.9412,52.5000
1900640,1.6667,2.3750,3.5435,2.8718,3.1951,2.0714,2.4545,22.2222,45.8333,84.7826,62.3932,73.1707,35.7143,48.4848,14.2857,50.0000,95.6522,71.7949,85.3659,35.7143,45.4545
1900730,1.3846,1.6250,2.8667,2.1471,2.6563,2.3125,2.0000,12.8205,20.8333,62.2222,38.2353,55.2083,43.7500,33.3333,7.6923,25.0000,73.3333,29.4118,68.7500,37.5000,21.4286
1900865,2.1000,1.4286,3.3538,2.5091,3.1833,2.2973,2.0526,36.6667,14.2857,78.4615,50.3030,72.7778,43.2432,35.0877,35.0000,14.2857,81.5385,47.2727,83.3333,37.8378,31.5789
1900910,2.3056,3.0870,3.5135,2.3158,3.0000,2.8077,2.5667,43.5185,69.5652,83.7838,43.8596,66.6667,60.2564,52.2222,36.1111,80.4348,97.2973,34.2105,81.5789,73.0769,50.0000
1900955,1.9355,2.2222,2.1818,2.3171,2.8571,2.1500,2.4118,31.1828,40.7407,39.3939,43.9024,61.9048,38.3333,47.0588,22.5806,33.3333,45.4545,34.1463,62.8571,25.0000,47.0588
1901270,1.7805,2.5294,3.0435,1.9231,2.7778,2.3462,2.2333,26.0163,50.9804,68.1159,30.7692,59.2593,44.8718,41.1111,17.0732,47.0588,82.6087,20.5128,66.6667,38.4615,30.0000
1901630,2.4483,2.8605,3.3023,3.0233,3.0667,2.9091,2.3846,48.2759,62.0155,76.7442,67.4419,68.8889,63.6364,46.1538,48.2759,74.4186,88.3721,83.7209,86.6667,77.2727,38.4615
1902260,2.0000,2.8750,3.3860,2.5833,2.9608,3.0000,2.3030,33.3333,62.5000,79.5322,52.7778,65.3595,66.6667,43.4343,18.4211,71.4286,91.2281,52.0833,72.5490,75.6757,39.3939
1903475,1.7222,3.0328,3.2769,3.2258,2.9565,2.8421,1.7143,24.0741,67.7596,75.8974,74.1935,65.2174,61.4035,23.8095,16.6667,77.0492,89.2308,87.0968,79.7101,65.7895,19.0476
1903655,2.0833,2.9118,3.5072,2.5323,2.9688,2.3721,2.4600,36.1111,63.7255,83.5749,51.0753,65.6250,45.7364,48.6667,33.3333,70.5882,97.1014,54.8387,78.1250,39.5349,46.0000
1904420,2.7200,3.4182,2.5600,2.8654,3.1957,3.1800,3.2400,57.3333,80.6061,52.0000,62.1795,73.1884,72.6667,74.6667,68.0000,89.0909,52.0000,76.9231,89.1304,86.0000,84.0000
1904825,1.3846,2.0000,3.1200,2.2105,2.5652,1.5714,2.1250,12.8205,33.3333,70.6667,40.3509,52.1739,19.0476,37.5000,0.0000,20.0000,80.0000,36.8421,60.8696,0.0000,37.5000
1904870,1.5217,2.2609,2.2813,2.5273,2.7115,2.1212,2.2174,17.3913,42.0290,42.7083,50.9091,57.0513,37.3737,40.5797,4.3478,52.1739,40.6250,50.9091,67.3077,36.3636,36.9565
1904960,1.4634,1.4545,2.6750,2.3182,2.4651,1.5833,1.7895,15.4472,15.1515,55.8333,43.9394,48.8372,19.4444,26.3158,4.8780,9.0909,62.5000,34.0909,48.8372,8.3333,10.5263
1905365,1.7059,2.7797,3.4727,2.2391,2.9556,2.7381,2.6410,23.5294,59.3220,82.4242,41.3043,65.1852,57.9365,54.7009,15.6863,66.1017,92.7273,36.9565,77.7778,61.9048,56.4103
1907030,2.0652,2.5818,3.3659,2.4762,3.0233,3.0385,2.8333,35.5072,52.7273,78.8618,49.2063,67.4419,67.9487,61.1111,39.1304,56.3636,90.2439,54.7619,79.0698,84.6154,63.3333
1909280,2.3077,3.0469,3.3770,2.5439,2.9643,3.0400,2.7292,43.5897,68.2292,79.2350,51.4620,65.4762,68.0000,57.6389,42.3077,81.2500,85.2459,54.3860,83.9286,70.0000,68.7500
1910045,2.1282,2.8684,3.1750,2.5333,2.7941,3.0000,2.6000,37.6068,62.2807,72.5000,51.1111,59.8039,66.6667,53.3333,30.7692,73.6842,85.0000,50.0000,67.6471,80.9524,60.0000
1912270,2.1111,3.0000,3.5455,2.9762,2.8800,2.6207,2.1905,37.0370,66.6667,84.8485,65.8730,62.6667,54.0230,39.6825,33.3333,73.5849,90.9091,76.1905,72.0000,65.5172,33.3333
1912720,2.1277,2.6415,2.8250,2.3333,2.5238,2.6000,2.5526,37.5887,54.7170,60.8333,44.4444,50.7937,53.3333,51.7544,38.2979,58.4906,70.0000,40.4762,57.1429,52.0000,60.5263
1913080,2.3393,3.1493,3.0156,2.4068,3.0000,2.5263,2.6667,44.6429,71.6418,67.1875,46.8927,66.6667,50.8772,55.5556,46.4286,82.0896,76.5625,47.4576,80.3030,50.0000,60.4167
1913530,1.6800,3.1935,2.8750,2.5636,2.8444,1.9474,2.6111,22.6667,73.1183,62.5000,52.1212,61.4815,31.5789,53.7037,12.0000,82.2581,66.6667,54.5455,75.5556,36.8421,58.3333
1913575,2.3265,2.8333,3.2800,2.4000,2.9298,2.8378,2.6857,44.2177,61.1111,76.0000,46.6667,64.3275,61.2613,56.1905,44.8980,70.0000,92.0000,50.9091,70.1754,72.9730,62.8571
1915240,1.5429,2.0000,3.2889,2.7045,3.1333,2.6522,2.8000,18.0952,33.3333,76.2963,56.8182,71.1111,55.0725,60.0000,11.4286,33.3333,91.1111,59.0909,86.6667,52.1739,63.3333
1915420,1.9302,2.8776,2.2885,2.0217,2.7708,2.3000,2.5000,31.0078,62.5850,42.9487,34.0580,59.0278,43.3333,50.0000,25.5814,73.4694,38.4615,26.0870,75.0000,43.3333,52.3810
1916500,2.0400,3.2667,2.9818,2.1569,2.9259,2.8158,2.4318,34.6667,75.5556,66.0606,38.5621,64.1975,60.5263,47.7273,26.0000,81.6667,69.0909,33.3333,74.0741,65.7895,47.7273
1916545,1.6889,3.0000,3.2692,2.2222,2.8293,2.4545,2.5000,22.9630,66.6667,75.6410,40.7407,60.9756,48.4848,50.0000,13.3333,78.8462,84.6154,31.1111,78.0488,45.4545,53.1250
1919945,2.6364,2.9333,3.3333,2.4773,2.8929,2.7857,2.4571,54.5455,64.4444,77.7778,49.2424,63.0952,59.5238,48.5714,56.8182,70.0000,85.4167,47.7273,71.4286,64.2857,45.7143
1921810,1.7073,1.7000,3.5556,2.3469,2.7091,2.6250,2.3611,23.5772,23.3333,85.1852,44.8980,56.9697,54.1667,45.3704,12.1951,20.0000,92.5926,42.8571,65.4545,55.0000,38.8889
1922620,1.4651,2.3556,2.8261,2.6136,2.7619,1.7143,2.2571,15.5039,45.1852,60.8696,53.7879,58.7302,23.8095,41.9048,4.6512,51.1111,69.5652,54.5455,66.6667,9.5238,42.8571
1923250,1.7692,2.7255,3.0889,2.4000,2.7556,2.6667,2.6129,25.6410,57.5163,69.6296,46.6667,58.5185,55.5556,53.7634,17.9487,68.6275,77.7778,48.8889,64.4444,60.0000,51.6129
1924645,1.7273,2.1429,3.2500,2.7500,2.8444,2.2000,2.2857,24.2424,38.0952,75.0000,58.3333,61.4815,40.0000,42.8571,18.1818,38.0952,88.6364,65.9091,73.3333,32.0000,46.4286
1924780,2.2742,3.1842,3.4930,2.7500,3.0968,2.9375,2.6739,42.4731,72.8070,83.0986,58.3333,69.8925,64.5833,55.7971,40.3226,82.8947,95.7746,64.0625,79.0323,68.7500,58.6957
1925095,1.7647,1.6552,2.5455,2.3778,2.5370,2.9512,2.3830,25.4902,21.8391,51.5152,45.9259,51.2346,65.0407,46.0993,21.5686,20.6897,63.6364,42.2222,62.9630,68.2927,53.1915
1925725,2.2500,2.7037,3.7091,3.0000,3.2549,3.1765,2.4828,41.6667,56.7901,90.3030,66.6667,75.1634,72.5490,49.4253,38.6364,48.1481,96.3636,76.0000,86.2745,82.3529,48.2759
1925860,2.2979,3.1887,2.8837,2.4130,2.9783,2.6154,2.7143,43.2624,72.9560,62.7907,47.1014,65.9420,53.8462,57.1429,42.5532,90.5660,72.0930,43.4783,78.2609,57.6923,68.5714
1926175,1.8974,2.1429,3.2414,2.4884,3.0408,3.0930,2.6765,29.9145,38.0952,74.7126,49.6124,68.0272,69.7674,55.8824,17.9487,42.8571,82.7586,51.1628,83.6735,74.4186,55.8824
1926895,1.2308,2.4531,1.9444,2.0577,2.3929,1.8519,2.3542,7.6923,48.4375,31.4815,35.2564,46.4286,28.3951,45.1389,3.8462,43.7500,29.6296,32.6923,42.8571,25.9259,43.7500
1928290,2.1064,2.6842,3.2000,2.4000,3.0000,2.5833,2.4595,36.8794,56.1404,73.3333,46.6667,66.6667,52.7778,48.6486,31.9149,66.6667,82.0000,48.8889,82.3529,52.7778,48.6486
1929280,1.9615,2.3636,3.1944,3.1481,2.9630,2.5000,2.7222,32.0513,45.4545,73.1481,71.6049,65.4321,50.0000,57.4074,30.7692,45.4545,86.1111,85.1852,75.9259,50.0000,63.8889
1929910,2.0185,2.7903,3.2000,2.7170,2.8929,3.1064,2.7400,33.9506,59.6774,73.3333,57.2327,63.0952,70.2128,58.0000,29.6296,69.3548,86.1538,66.0377,76.7857,82.9787,66.0000
1930225,2.4151,2.8947,3.3226,2.2222,3.0000,2.6216,2.1500,47.1698,63.1579,77.4194,40.7407,66.6667,54.0541,38.3333,49.0566,75.4386,90.3226,35.1852,80.6452,67.5676,35.0000
1930675,2.0357,2.7000,2.5714,3.2333,3.0862,3.1053,2.2857,34.5238,56.6667,52.3810,74.4444,69.5402,70.1754,42.8571,28.5714,60.0000,57.1429,88.3333,82.7586,86.8421,38.0952
1931395,2.1795,1.7619,3.4894,2.7857,3.0750,2.9394,2.2000,39.3162,25.3968,82.9787,59.5238,69.1667,64.6465,40.0000,35.8974,23.8095,91.4894,73.8095,77.5000,72.7273,33.3333
1931710,2.2075,3.2535,3.2836,2.4844,3.1364,3.1373,2.8333,40.2516,75.1174,76.1194,49.4792,71.2121,71.2418,61.1111,37.7358,87.3239,89.5522,46.8750,87.8788,86.2745,68.7500
1931800,2.6481,2.8036,3.3091,2.5185,3.0536,3.0263,2.6216,54.9383,60.1190,76.9697,50.6173,68.4524,67.5439,54.0541,61.1111,67.8571,87.2727,53.7037,80.3571,73.6842,64.8649
1932025,1.6286,2.7368,3.1765,2.5714,2.9574,2.5882,2.5714,20.9524,57.8947,72.5490,52.3810,65.2482,52.9412,52.3810,14.2857,73.6842,82.3529,55.3571,82.9787,50.0000,53.5714
1933780,1.9583,2.9649,2.5294,2.3529,2.8980,2.7000,2.3793,31.9444,65.4971,50.9804,45.0980,63.2653,56.6667,45.9770,22.9167,70.1754,52.9412,43.1373,71.4286,65.0000,41.3793
1934680,1.2000,1.5833,3.4186,2.3953,2.5435,2.2759,2.1905,6.6667,19.4444,80.6202,46.5116,51.4493,42.5287,39.6825,0.0000,16.6667,90.6977,41.8605,47.8261,41.3793,38.0952
1934725,2.0851,2.7818,3.1087,2.6279,2.8824,2.6000,2.3667,36.1702,59.3939,70.2899,54.2636,62.7451,53.3333,45.5556,29.7872,65.4545,76.0870,62.7907,76.4706,57.5000,46.6667
1936345,2.2857,2.4667,3.1600,2.8871,2.9500,2.4839,2.4706,42.8571,48.8889,72.0000,62.9032,65.0000,49.4624,49.0196,44.8980,60.0000,82.0000,74.1935,80.0000,51.6129,47.0588
1937155,1.8125,2.8148,3.4630,2.4510,2.9333,2.6410,2.8333,27.0833,60.4938,82.0988,48.3660,64.4444,54.7009,61.1111,18.7500,66.6667,94.4444,47.0588,82.2222,58.9744,66.6667
1937290,2.7794,3.1096,3.6034,2.6429,3.1563,2.5556,2.5135,59.3137,70.3196,86.7816,54.7619,71.8750,51.8519,50.4505,67.6471,82.1918,100.0000,61.4286,92.1875,62.2222,54.0541
1937560,2.7627,2.6825,3.3390,2.7273,3.1404,2.5278,2.7391,58.7571,56.0847,77.9661,57.5758,71.3450,50.9259,57.9710,69.4915,66.6667,83.0508,61.8182,89.4737,50.0000,60.8696
1939450,2.3542,2.9531,3.2830,2.5636,3.1455,3.0667,2.8750,45.1389,65.1042,76.1006,52.1212,71.5152,68.8889,62.5000,41.6667,73.4375,86.7925,52.7273,87.2727,83.3333,72.5000
1940260,2.1087,2.5652,3.3111,2.6170,3.0172,2.0500,2.3590,36.9565,52.1739,77.0370,53.9007,67.2414,35.0000,45.2991,32.6087,60.8696,93.3333,59.5745,79.3103,30.0000,43.5897
1942600,2.2381,2.0250,3.6825,2.3600,3.0000,2.7419,2.7297,41.2698,34.1667,89.4180,45.3333,66.6667,58.0645,57.6577,23.8095,25.0000,95.2381,48.0000,83.3333,61.2903,70.2703
1942960,1.8542,2.4717,3.1489,2.3137,2.8679,2.7419,2.3214,28.4722,49.0566,71.6312,43.7909,62.2642,58.0645,44.0476,14.5833,47.1698,82.9787,37.2549,77.3585,61.2903,42.8571
1944085,2.0400,2.9231,3.9583,3.1395,3.0444,2.6471,2.4286,34.6667,64.1026,98.6111,71.3178,68.1481,54.9020,47.6190,20.0000,74.3590,100.0000,88.3721,80.0000,58.8235,50.0000
1944400,2.7255,3.0702,3.1800,2.6735,3.0000,2.8182,2.5806,57.5163,69.0058,72.6667,55.7823,66.6667,60.6061,52.6882,66.6667,77.1930,84.0000,65.3061,82.0000,69.6970,48.3871
1948450,1.9286,2.3617,3.3774,2.7660,2.7600,3.0313,2.6857,30.9524,45.3901,79.2453,58.8652,58.6667,67.7083,56.1905,23.8095,44.6809,90.5660,63.8298,64.0000,78.1250,57.1429
